,in_reply_to_user_id_str,full_text,id,in_reply_to_screen_name,in_reply_to_user_id,source_url,in_reply_to_status_id_str,favorite_count,lang,source,retweet_count,id_str,in_reply_to_status_id,user,created_time
280,,i could be a vegan for a week if i was supplied with the food! it doesnt look so hard *pauz*,32571481644859392,,,http://twitter.com,,0,en,Twitter Web Client,0,32571481644859392,,WillWillion,2011-02-01 22:50:21
281,,RT @C2theA2theB: The only thing @Oprah show did was make the slaughter of animals better looking. It confirmed no need to change for mea ...,32572786975186944,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,3,32572786975186944,,aTexasAttitude,2011-02-01 22:55:32
282,,"RT @CTV_Television: No meat, no milk, no animal anything. OPRAH & 378 Harpo staffers go vegan for one week. Could you do it? Today at 4p ...",32572841857650689,,,http://twitter.com,,0,en,Twitter Web Client,1,32572841857650689,,rosecornfield,2011-02-01 22:55:45
283,,Mmmm...just finished my 1st chicken fajita for the day...while watchn Oprah's vegan challenge. #IDidntKnow *shrugs*,32572949852594177,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,0,32572949852594177,,evonniastarr,2011-02-01 22:56:11
284,,"RT @VegWeb: Want an easy vegan country gravy? Yes, you do! This new one is super fantastic: http://bit.ly/guiTZP",32573502548615169,,,http://www.echofon.com/,,0,en,Echofon,1,32573502548615169,,cherylp3,2011-02-01 22:58:22
285,,RT @PCRM RT @roryfreedman I’m excited new Dietary Guidelines for Americans highlight #vegetarian & #vegan diets! http://ow.ly/3OmS7,32573026268614656,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,0,32573026268614656,,LeahLizarondo,2011-02-01 22:56:29
286,,"RT@follownathan in lieu of all this #oprah #vegan talk .. an interview I conducted w/ @FarmSanctuary http://youtu.be/iPA1QJBH83I #agchat 
.",32573498274611200,,,http://twitter.com,,0,en,Twitter Web Client,0,32573498274611200,,anne_barbano,2011-02-01 22:58:21
287,,RT @sollmana: RT @agchick: Careful #agchat that tonight's convo doesn't turn to 'turning' vegan back. Approach should be convo w/ intere ...,32573350664478720,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,1,32573350664478720,,JordanMCraig,2011-02-01 22:57:46
288,24031223,@GoVeganDotNet Hah! I'm rooting for ExJenn to ride the #vegan train & snatch Brad away from Evil Angie! Check yr FamTree to c if yr related!,32571451382964224,GoVeganDotNet,24031223.0,http://twitter.com/download/iphone,32570416744636416,0,en,Twitter for iPhone,0,32571451382964224,3.2570416744636416e+16,oniononiononion,2011-02-01 22:50:13
289,,Want to win a GC to @WholeFoods? Follow & RT @crunchyliving - we will announce the winner at the premiere of our website #vegan #giveaway,32572725490876418,,,http://twitter.com,,0,en,Twitter Web Client,0,32572725490876418,,joannaonthelake,2011-02-01 22:55:17
290,,Watchin michael pollen on @Oprah........very interestin episode.......makes me wnt to try the vegan challenge For a week nd see how I feel,32572705932840961,,,http://blackberry.com/twitter,,0,en,Twitter for BlackBerry®,0,32572705932840961,,Rachsimms,2011-02-01 22:55:12
291,48305121,@chubby_vegan faculdade proibe =x,32571819399581696,chubbyvegan,48305121.0,https://about.twitter.com/products/tweetdeck,32571514930855936,0,pt,TweetDeck,0,32571819399581696,3.2571514930855936e+16,ferkobaia,2011-02-01 22:51:41
292,,"Wife just watched Oprah talk about Vegan diet challenge, guess who is going vegan for a week.  #FML.",32572878184517632,,,http://www.echofon.com/,,0,en,Echofon,0,32572878184517632,,genrepair,2011-02-01 22:55:53
293,,Did you see Oprah today? Get results from going Vegan.,32572447072976896,,,http://mobile.twitter.com,,0,en,Mobile Web,0,32572447072976896,,medmalrn,2011-02-01 22:54:11
294,,"i'll also be cooking an extravagant dinner, ordering vegan ""leather"" bags online, & working on my blog.. #wishthereweremorehoursinaday",32573425780260864,,,http://twitter.com/download/iphone,,0,en,Twitter for iPhone,0,32573425780260864,,miss_neeta,2011-02-01 22:58:04
295,,I'm no vegan but I only eat chicken and turkey.  What would life be like without the gospel bird. #chicken,32573295454851072,,,http://twitter.com/download/iphone,,0,en,Twitter for iPhone,0,32573295454851072,,cenq2k,2011-02-01 22:57:33
296,,"Fuck being some #Vegan I like my meat, grew up on meat and will die from meat. #Oprah",32572645597782016,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,0,32572645597782016,,thetruicon,2011-02-01 22:54:58
297,,http://www.guiavegano.com.br/vegan/adocao-animal/quer-adotar-um-cao-ou-gato,32573581418307584,,,http://twitter.com,,0,und,Twitter Web Client,0,32573581418307584,,Mary_spfc,2011-02-01 22:58:41
298,,RT @AliciaSilv: oprah kicks off vegan week today! http://bit.ly/dFenE9,32572063742951425,,,http://twitter.com,,0,en,Twitter Web Client,82,32572063742951425,,SaveAScream,2011-02-01 22:52:39
299,,The Park Theatre sells #vegan milkshakes! Haven't tried it yet.  http://myloc.me/hh75M,32572754372857856,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,0,32572754372857856,,lorrainejames,2011-02-01 22:55:24
